"schoolid","grade","math","female","minority","lowinc_cen"
3440,1,-1.694,0,1,15.8064868603043
3440,2,-0.211,0,1,15.8064868603043
3440,3,-0.403,0,1,15.8064868603043
3440,4,0.501,0,1,15.8064868603043
2820,1,-0.194,1,0,-77.7935131396957
2820,2,2.14,1,0,-77.7935131396957
2820,3,1.421,1,0,-77.7935131396957
3430,0,-1.987,0,1,7.00648686030429
3430,1,-1.185,0,1,7.00648686030429
3430,2,-1.446,0,1,7.00648686030429
3430,3,-0.297,0,1,7.00648686030429
3430,4,0.65,0,1,7.00648686030429
2520,1,0.777,1,1,-0.893513139695699
2520,2,0.343,1,1,-0.893513139695699
2520,3,0.573,1,1,-0.893513139695699
3440,0,-4.055,1,1,15.8064868603043
3440,0,-2.839,1,1,15.8064868603043
3440,1,-3.249,1,1,15.8064868603043
3440,2,-1.894,1,1,15.8064868603043
3440,3,-1.484,1,1,15.8064868603043
3440,4,-1.552,1,1,15.8064868603043
3440,0,-3.395,1,1,15.8064868603043
3440,0,-3.021,1,1,15.8064868603043
3440,1,-3.676,1,1,15.8064868603043
3440,2,-1.446,1,1,15.8064868603043
3440,3,-1.685,1,1,15.8064868603043
3440,4,-1.462,1,1,15.8064868603043
3440,0,-3.558,0,1,15.8064868603043
3440,0,-2.839,0,1,15.8064868603043
3440,1,-2.265,0,1,15.8064868603043
2340,0,-1.83,0,1,15.9064868603043
2340,1,-1.038,0,1,15.9064868603043
2340,2,0.114,0,1,15.9064868603043
2340,3,0.237,0,1,15.9064868603043
2340,4,1.623,0,1,15.9064868603043
3440,0,-2.413,0,1,15.8064868603043
3440,1,-1.694,0,1,15.8064868603043
3440,2,-1.446,0,1,15.8064868603043
3440,3,-0.889,0,1,15.8064868603043
3440,4,0.749,0,1,15.8064868603043
3440,0,-3.395,1,1,15.8064868603043
3440,1,-2.265,1,1,15.8064868603043
3440,2,-1.894,1,1,15.8064868603043
3440,3,-0.67,1,1,15.8064868603043
3440,4,-0.396,1,1,15.8064868603043
3440,0,-1.384,0,1,15.8064868603043
3440,1,-1.054,0,1,15.8064868603043
3440,2,-0.928,0,1,15.8064868603043
3440,3,-0.403,0,1,15.8064868603043
3440,2,1.309,0,1,15.8064868603043
3440,3,1.661,0,1,15.8064868603043
3440,4,2.164,0,1,15.8064868603043
3440,0,-2.032,0,1,15.8064868603043
3440,1,-0.988,0,1,15.8064868603043
3440,2,-0.316,0,1,15.8064868603043
2820,0,-0.619,0,1,-77.7935131396957
2820,1,-0.351,0,1,-77.7935131396957
2820,2,1.894,0,1,-77.7935131396957
2820,3,2.254,0,1,-77.7935131396957
2820,4,3.055,0,1,-77.7935131396957
4010,0,-1.218,0,1,-48.1935131396957
4010,1,-1.946,0,1,-48.1935131396957
4010,2,-0.725,0,1,-48.1935131396957
3020,1,-0.988,0,1,-28.9935131396957
3020,2,0.003,0,1,-28.9935131396957
3020,3,0.292,0,1,-28.9935131396957
3020,0,-3.798,0,0,-28.9935131396957
3020,1,-2.265,0,0,-28.9935131396957
3020,2,-1.894,0,0,-28.9935131396957
3020,3,-0.834,0,0,-28.9935131396957
3020,4,-0.396,0,0,-28.9935131396957
3450,0,-3.068,0,1,-2.0935131396957
3450,1,-2.899,0,1,-2.0935131396957
3450,2,-1.132,0,1,-2.0935131396957
3360,1,-2.162,0,1,22.2064868603043
3360,2,-1.34,0,1,22.2064868603043
3360,3,-0.563,0,1,22.2064868603043
3610,0,-3.068,1,1,20.0064868603043
3610,0,-2.188,1,1,20.0064868603043
3610,1,-1.898,1,1,20.0064868603043
3610,2,-1.894,1,1,20.0064868603043
4280,2,-1.446,1,1,14.8064868603043
4280,3,-0.725,1,1,14.8064868603043
4280,4,-0.904,1,1,14.8064868603043
2330,0,-1.616,1,1,1.1064868603043
2330,1,-1.83,1,1,1.1064868603043
2330,2,-1.132,1,1,1.1064868603043
2330,3,-0.616,1,1,1.1064868603043
2330,4,-0.062,1,1,1.1064868603043
3280,1,1.194,1,0,-60.5935131396957
3280,2,0.852,1,0,-60.5935131396957
3280,3,1.202,1,0,-60.5935131396957
3280,4,2.859,1,0,-60.5935131396957
4330,0,-0.273,1,0,-19.2935131396957
4330,2,0.642,1,0,-19.2935131396957
4330,3,1.858,1,0,-19.2935131396957
4330,4,1.945,1,0,-19.2935131396957
4330,5,2.842,1,0,-19.2935131396957
4330,0,-2.032,0,0,-19.2935131396957
4330,1,-1.12,0,0,-19.2935131396957
4330,2,0.114,0,0,-19.2935131396957
4330,3,0.292,0,0,-19.2935131396957
4330,4,1.46,0,0,-19.2935131396957
4330,0,-2.535,0,0,-19.2935131396957
4330,1,-0.988,0,0,-19.2935131396957
4330,2,-0.623,0,0,-19.2935131396957
4330,0,-2.162,0,0,-19.2935131396957
4330,1,-1.441,0,0,-19.2935131396957
4330,2,-1.03,0,0,-19.2935131396957
3720,0,-4.432,0,1,15.7064868603043
3720,1,-3.171,0,1,15.7064868603043
3720,1,-1.934,0,1,15.7064868603043
3580,0,-1.966,0,1,-25.9935131396957
3580,1,-0.645,0,1,-25.9935131396957
3580,2,-0.316,0,1,-25.9935131396957
3580,3,0.347,0,1,-25.9935131396957
3580,4,1.098,0,1,-25.9935131396957
3440,0,-2.188,1,1,15.8064868603043
3440,1,-1.314,1,1,15.8064868603043
3440,1,-1.237,1,1,15.8064868603043
3440,2,-1.364,1,1,15.8064868603043
3440,3,0.688,1,1,15.8064868603043
3440,0,-2.288,1,1,15.8064868603043
3440,1,-1.819,1,1,15.8064868603043
3440,2,-0.522,1,1,15.8064868603043
3440,0,-2.718,1,1,15.8064868603043
3440,1,-2.2,1,1,15.8064868603043
3440,2,-2.406,1,1,15.8064868603043
3280,0,-0.619,0,0,-60.5935131396957
3280,1,-0.645,0,0,-60.5935131396957
3280,2,1.309,0,0,-60.5935131396957
3280,3,2.034,0,0,-60.5935131396957
3280,4,2.682,0,0,-60.5935131396957
3280,0,-1.541,0,0,-60.5935131396957
3280,1,0.905,0,0,-60.5935131396957
3280,2,1.485,0,0,-60.5935131396957
3280,3,2.034,0,0,-60.5935131396957
3280,4,2.521,0,0,-60.5935131396957
3280,0,-1.898,0,0,-60.5935131396957
3280,1,-1.054,0,0,-60.5935131396957
3280,2,1.309,0,0,-60.5935131396957
3280,3,1.346,0,0,-60.5935131396957
3280,4,0.897,0,0,-60.5935131396957
3280,0,-2.097,0,0,-60.5935131396957
3280,1,-1.25,0,0,-60.5935131396957
3280,2,-0.316,0,0,-60.5935131396957
3280,3,1.134,0,0,-60.5935131396957
3280,4,1.912,0,0,-60.5935131396957
3280,0,-0.942,0,1,-60.5935131396957
3280,1,-0.574,0,1,-60.5935131396957
3280,2,1.309,0,1,-60.5935131396957
3280,3,1.134,0,1,-60.5935131396957
3280,4,1.623,0,1,-60.5935131396957
3280,0,-0.733,0,0,-60.5935131396957
3280,1,-0.351,0,0,-60.5935131396957
3280,2,2.14,0,0,-60.5935131396957
3280,3,1.202,0,0,-60.5935131396957
3280,0,-1.83,0,0,-60.5935131396957
3280,1,-2.33,0,0,-60.5935131396957
3280,2,0.995,0,0,-60.5935131396957
3280,3,0.811,0,0,-60.5935131396957
3280,4,1.736,0,0,-60.5935131396957
3280,0,-1.616,1,0,-60.5935131396957
3280,1,-0.854,1,0,-60.5935131396957
3280,2,0.587,1,0,-60.5935131396957
3280,3,1.134,1,0,-60.5935131396957
3280,4,2.035,1,0,-60.5935131396957
3280,0,-1.13,0,0,-60.5935131396957
3280,1,-0.501,0,0,-60.5935131396957
3280,2,1.146,0,0,-60.5935131396957
3280,3,1.134,0,0,-60.5935131396957
3280,4,1.568,0,0,-60.5935131396957
3280,0,-1.13,1,0,-60.5935131396957
3280,1,-0.112,1,0,-60.5935131396957
3280,2,1.678,1,0,-60.5935131396957
3280,3,0.873,1,0,-60.5935131396957
3280,4,1.568,1,0,-60.5935131396957
3280,0,-1.76,1,0,-60.5935131396957
3280,1,-1.378,1,0,-60.5935131396957
3280,2,-0.826,1,0,-60.5935131396957
3280,3,0.021,1,0,-60.5935131396957
3280,4,1.514,1,0,-60.5935131396957
2540,1,-0.501,1,1,21.9064868603043
2540,2,0.852,1,1,21.9064868603043
2540,3,0.936,1,1,21.9064868603043
2540,4,1.623,1,1,21.9064868603043
3440,0,-2.778,0,1,15.8064868603043
3440,1,-1.882,0,1,15.8064868603043
3440,2,-0.928,0,1,15.8064868603043
3440,3,-0.032,0,1,15.8064868603043
3440,4,1.148,0,1,15.8064868603043
3030,0,-2.288,1,1,20.9064868603043
3030,1,-0.921,1,1,20.9064868603043
